player_id,name,debut,last,span,n_valid,n_gaps,career_games,career_mp,mean_per,peak_per,sd_per,min_mp_valid,pos_mode,all_star_n,all_nba_n,mvp_top5_n,mean_bpm,mean_ws,sum_ws,sum_vorp,mean_usg,mean_ts,debut_age
garlawi01,Winston Garland,1988,1995,8,7,1,511,13391,12.285714285714286,14.7,1.6965751816346881,1004.0,PG,0,0,0,-1.8,2.028571428571429,14.200000000000001,1.3,17.942857142857143,0.4882857142857143,23.0
garnebi02,Bill Garnett,1983,1986,4,4,0,300,5260,12.125,15.0,1.8005207580030842,1123.0,PF,0,0,0,-0.9500000000000001,2.725,10.9,1.5999999999999999,14.024999999999999,0.557,22.0
garneke01,Kevin Garnett,1996,2016,21,21,0,1462,50418,21.423809523809524,29.4,4.601853121753781,556.0,PF,15,9,5,4.909523809523809,9.119047619047619,191.5,97.00000000000001,23.633333333333333,0.5393809523809525,19.0
garreca01,Calvin Garrett,1981,1984,4,3,1,166,3008,9.133333333333335,10.2,0.7717224601860145,478.0,SF,0,0,0,-2.9,0.8666666666666667,2.6,-0.5,14.733333333333334,0.4976666666666667,24.0
garrede01,Dean Garrett,1997,2002,6,6,0,359,6969,11.866666666666667,17.7,3.5752233807445126,183.0,C,0,0,0,-2.2333333333333334,2.35,14.100000000000001,1.0,12.516666666666666,0.4848333333333333,30.0
garripa01,Pat Garrity,1999,2008,10,9,1,552,11062,9.588888888888889,13.0,2.956140293033936,277.0,PF,0,0,0,-2.7333333333333334,2.0777777777777775,18.7,0.5999999999999999,16.833333333333332,0.512,22.0
garrito01,Tom Garrick,1989,1992,4,4,0,251,4718,11.475000000000001,13.3,1.271563997602952,549.0,SG,0,0,0,-1.375,1.475,5.9,0.6,14.5,0.5025000000000001,22.0
gasolma01,Marc Gasol,2009,2021,13,13,0,891,28719,17.43846153846154,21.7,2.7227074934106597,993.0,C,3,2,0,2.8923076923076922,6.56923076923077,85.4,36.800000000000004,19.83076923076923,0.5606153846153847,24.0
gasolpa01,Pau Gasol,2002,2019,18,18,0,1226,41001,20.988888888888887,24.1,2.0674431038493712,360.0,C,6,4,0,3.477777777777778,7.994444444444444,143.89999999999998,57.599999999999994,22.927777777777777,0.5614999999999999,21.0
gatlich01,Chris Gatling,1992,2002,11,11,0,700,13760,17.218181818181822,23.9,3.4342706468816715,612.0,PF,1,0,0,-1.2454545454545454,2.9181818181818184,32.1,3.2,23.636363636363637,0.5534545454545454,24.0
gattike01,Kenny Gattison,1987,1996,10,8,2,494,9927,12.2125,15.3,2.101450391991208,409.0,PF,0,0,0,-3.0125,2.125,17.0,-1.0,17.55,0.547375,22.0
gayru01,Rudy Gay,2007,2023,17,17,0,1120,34561,15.970588235294118,19.7,2.557748252773809,816.0,SF,0,0,0,0.3588235294117646,3.5823529411764703,60.9,22.5,23.652941176470588,0.5346470588235295,20.0
geeal01,Alonzo Gee,2010,2016,7,7,0,417,9071,11.52857142857143,16.2,2.5838588449472706,182.0,SF,0,0,0,-1.5999999999999999,1.3857142857142857,9.7,-0.3,15.685714285714287,0.5342857142857144,22.0
geigema01,Matt Geiger,1993,2001,9,9,0,552,12221,14.733333333333333,20.2,2.64449112937316,542.0,C,0,0,0,-2.1555555555555554,3.1666666666666665,28.5,0.8,20.08888888888889,0.5404444444444444,23.0
gelabmi01,Mickaël Gelabale,2007,2013,7,3,4,145,2348,10.700000000000001,11.8,0.8286535263104037,465.0,SF,0,0,0,-1.9666666666666668,1.0,3.0,-5.551115123125783e-17,14.066666666666668,0.5496666666666666,23.0
georgde01,Devean George,2000,2010,11,11,0,630,11682,10.1,12.6,2.1854893356783136,306.0,SF,0,0,0,-2.3000000000000003,1.663636363636364,18.300000000000004,1.4,16.290909090909093,0.48109090909090907,22.0
